experiment_id,batch_index,model_family,model,representation,scale,scale_min,scale_max,molecule_id,name,status,status_reason,smiles,iupac,score,comment
qwen_smiles_0_1,11,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0011,FORMALDEHYDE,bad,bad extreme,C=O,formaldehyde,0.05,"Formaldehyde contains a highly reactive aldehyde group and is a known toxic carcinogen, making it unsuitable for medicinal use despite its simple structure."
qwen_smiles_0_1,12,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0012,LORAZEPAM,ambiguous,addiction,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,"7-chloro-5-(2-chlorophenyl)-3-hydroxy-1,3-dihydro-1,4-benzodiazepin-2-one",0.9,"LORAZEPAM is a well-established benzodiazepine with no major structural alerts, though its lipophilicity and central nervous system activity may limit therapeutic index."
qwen_smiles_0_1,13,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0013,DIMETHYL SULFATE,bad,bad extreme,COS(=O)(=O)OC,dimethyl sulfate,0.2,"Sulfate ester group raises concerns about hydrolytic instability and potential corrosive toxicity, with no compensating developability features."
qwen_smiles_0_1,14,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0014,KETAMINE,ambiguous,addiction,CNC1(CCCCC1=O)c1ccccc1,2-(methylamino)-2-phenylcyclohexan-1-one,0.9,"Ketamine shows acceptable drug-likeness with no major structural alerts, though the primary amine may raise metabolism/reactivity concerns despite its clinical use."
qwen_smiles_0_1,15,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0015,CITALOPRAM,ambiguous,side effects,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile,0.85,"Nitrile group (C#N) raises stability/toxicity concerns, but molecule is a marketed drug with established oral bioavailability and acceptable physicochemical properties."
qwen_smiles_0_1,16,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0016,Methyl methanesulfonate,ambiguous,antitumor,COS(=O)(=O)C,methyl methanesulfonate,0.2,"Methyl methanesulfonate contains a highly reactive and potentially genotoxic sulfonate ester group, which raises significant safety concerns and instability risks."
qwen_smiles_0_1,17,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0017,SAXITOXIN,bad,nature toxin,N=C1N[C@H]2[C@H](COC(N)=O)NC(=N)N3CCC(O)(O)[C@]23N1,"[(3aS,4R,10aS)-2,6-diamino-10,10-dihydroxy-3a,4,8,9-tetrahydro-1H-pyrrolo[1,2-c]purin-4-yl]methyl carbamate",0.1,"Saxitoxin is a potent neurotoxin with inherent safety liabilities, structural alerts for toxicity, and poor physicochemical profile (high molecular complexity, potential for instability)."
qwen_smiles_0_1,18,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0018,AMANTADINE,good,good,NC12CC3CC(CC(C3)C1)C2,adamantan-1-amine,0.95,"Amantadine shows no major developability concerns; its adamantane core and primary amine are well-tolerated in clinical use despite potential reactivity, with favorable physicochemical properties and low synthetic complexity."
qwen_smiles_0_1,19,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0019,MEMANTINE,good,good,CC12CC3CC(C)(C1)CC(N)(C3)C2,"3,5-dimethyladamantan-1-amine",0.95,"Memantine shows no major developability concerns despite its tertiary amine group, with a favorable physicochemical profile and established oral use in clinical practice."
qwen_smiles_0_1,20,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0020,ATORVASTATIN,good,good,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",0.95,"Atorvastatin shows no major developability concerns despite its complexity, with established pharmacophore and minimal structural alerts; fluorine substitution and high molecular weight are minor liabilities."
qwen_smiles_0_1,21,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0021,alpha-Amanitin,bad,nature toxin,CC[C@H](C)[C@@H]1NC(=O)CNC(=O)[C@@H]2Cc3c([nH]c4cc(O)ccc34)[S+]([O-])C[C@@H](NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H]([C@@H](C)[C@@H](O)CO)C(=O)N2,"2-[(1S,4S,8R,10S,13S,16S,34S)-34-[(2S)-butan-2-yl]-13-[(2R,3R)-3,4-dihydroxybutan-2-yl]-8,22-dihydroxy-2,5,11,14,27,30,33,36,39-nonaoxo-27lambda4-thia-3,6,12,15,25,29,32,35,38-nonazapentacyclo[14.12.11.06,10.018,26.019,24]nonatriaconta-18(26),19(24),20,22-tetraen-4-yl]acetamide",0.1,"Alpha-amanitin contains multiple toxicophores (e.g., cyclic peptide scaffold with macrocyclic lactam), inherent hepatotoxicity, and high synthetic complexity with poor physicochemical properties (high MW, low solubility)."
qwen_smiles_0_1,22,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0022,Methanesulfonyl chloride,bad,bad extreme,CS(Cl)(=O)=O,methanesulfonyl chloride,0.1,Reactive sulfonyl chloride group and potential instability due to labile Cl atoms pose significant developability risks.
qwen_smiles_0_1,23,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0023,GLIPIZIDE,good,good,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide,0.85,Contains a sulfonylurea core (known structural alert for hypoglycemia liability) but lacks other major red flags; oral developability is plausible due to moderate lipophilicity and H-bonding capacity.
qwen_smiles_0_1,24,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0024,VALDECOXIB,ambiguous,side effects,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,"4-(5-methyl-3-phenyl-1,2-oxazol-4-yl)benzenesulfonamide",0.9,"Known COX-2 inhibitor with no obvious reactive groups or toxicophores, though sulfonamide may raise solubility concerns."
qwen_smiles_0_1,25,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0025,VINYL CHLORIDE,bad,bad extreme,C=CCl,chloroethene,0.1,"Vinyl chloride contains a reactive double bond and a chlorine atom, raising significant safety concerns due to known carcinogenicity and toxicophore presence."
qwen_smiles_0_1,26,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0026,DEXTROMETHORPHAN,ambiguous,addiction,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,"(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene",0.95,"A known drug with no major developability concerns; stable structure, acceptable physicochemical properties, and no obvious toxicophores or synthetic liabilities."
qwen_smiles_0_1,27,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0027,ETOPOSIDE,ambiguous,antitumor,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,"(5S,5aR,8aR,9R)-5-[[(2R,4aR,6R,7R,8R,8aS)-7,8-dihydroxy-2-methyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",0.3,"ETOPOSIDE contains reactive epoxide moieties and multiple hydroxyl groups, raising concerns about stability, toxicity, and synthetic complexity despite its established clinical use."
qwen_smiles_0_1,28,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0028,OLANZAPINE,ambiguous,side effects,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,"2-methyl-4-(4-methylpiperazin-1-yl)-10H-thieno[2,3-b][1,5]benzodiazepine",0.95,"Olanzapine is a marketed drug with no major structural alerts or developability liabilities, though its high lipophilicity may require formulation optimization."
qwen_smiles_0_1,29,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0029,CYCLOPHOSPHAMIDE ANHYDROUS,ambiguous,antitumor,O=P1(N(CCCl)CCCl)NCCCO1,"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",0.2,"Severe liabilities from phosphorus-based toxicophores, chlorinated reactive groups, and known genotoxicity profile despite oral bioavailability."
qwen_smiles_0_1,30,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0030,BUDESONIDE,good,good,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,"(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one",0.95,"Budesonide is a well-established glucocorticoid with no major reactive groups, toxicophores, or physicochemical liabilities despite its complex steroid scaffold."
qwen_smiles_0_1,31,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0031,CHLOROPICRIN,bad,bad extreme,O=[N+]([O-])C(Cl)(Cl)Cl,trichloro(nitro)methane,0.1,"Severe toxicophores (nitro group, multiple chlorines) and high reactivity/instability due to charged nitroso group; known chemical weapon with extreme safety concerns."
qwen_smiles_0_1,32,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0032,BPDE,bad,bad extreme,O[C@@H]3c1cc4ccc5cccc6ccc(c1[C@H]2O[C@H]2[C@H]3O)c4c56,"(3R,5S,6S,7R)-4-oxahexacyclo[11.6.2.02,8.03,5.010,20.017,21]henicosa-1(20),2(8),9,11,13(21),14,16,18-octaene-6,7-diol",0.4,"High synthetic complexity, multiple aromatic rings, and potential metabolic instability due to reactive hydroxyl groups and complex glycosidic linkage reduce developability despite no obvious toxicophores."
qwen_smiles_0_1,33,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0033,TETRACYCLINE,ambiguous,side effects,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",0.6,"TETRACYCLINE shows oral activity as a known antibiotic but has structural complexity, multiple hydroxyl groups, and potential toxicity liabilities that reduce its drug-likeness score."
qwen_smiles_0_1,34,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0034,ASTEMIZOLE,ambiguous,side effects,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1-[(4-fluorophenyl)methyl]-N-[1-[2-(4-methoxyphenyl)ethyl]piperidin-4-yl]benzimidazol-2-amine,0.6,"Fluorine substitution and piperazine-triazole core raise metabolic liability concerns, but the overall scaffold shows reasonable drug-like features."
qwen_smiles_0_1,35,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0035,PROCARBAZINE,ambiguous,antitumor,CNNCc1ccc(C(=O)NC(C)C)cc1,4-[(2-methylhydrazinyl)methyl]-N-propan-2-ylbenzamide,0.3,"Contains a carbazide group (CNNC), a known genotoxic structural alert, and multiple nitrogens which may increase basicity and solubility liabilities."
qwen_smiles_0_1,36,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0036,MUSTARD GAS,bad,bad extreme,ClCCSCCCl,1-chloro-2-(2-chloroethylsulfanyl)ethane,0.0,"MUSTARD GAS contains highly toxic alkylating warhead groups and is a well-known vesicant with extreme cytotoxicity and mutagenicity, rendering it unsuitable for medicinal use."
qwen_smiles_0_1,37,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0037,GLYOXAL,bad,bad extreme,O=CC=O,oxaldehyde,0.2,Reactive aldehyde groups and high instability due to electrophilic carbonyls pose significant toxicity and formulation liabilities.
qwen_smiles_0_1,38,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0038,BUSULFAN,ambiguous,antitumor,CS(=O)(=O)OCCCCOS(C)(=O)=O,4-methylsulfonyloxybutyl methanesulfonate,0.2,"BUSULFAN contains alkylating sulfonate groups and a disulfide linkage, which are known toxicophores associated with severe myelosuppression and mutagenicity, severely limiting its safety profile despite established clinical use."
qwen_smiles_0_1,39,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0039,Batrachotoxin,bad,nature toxin,Cc1c[nH]c(C)c1C(=O)O[C@@H](C)C1=CC[C@@]23OCCN(C)C[C@@]12C[C@@H](O)[C@]12O[C@]4(O)CC[C@@]1(C)[C@H](CC=C23)C4,"[(1S)-1-[(1R,5R,6S,9R,11S,12R,14R)-9,12-dihydroxy-6,16-dimethyl-10,19-dioxa-16-azahexacyclo[12.5.3.15,9.01,14.02,11.06,11]tricosa-2,21-dien-22-yl]ethyl] 2,4-dimethyl-1H-pyrrole-3-carboxylate",0.0,"Batrachotoxin is a highly toxic natural product with potent sodium channel activity, extreme toxicity, and complex structure precluding developability due to safety and synthetic challenges."
qwen_smiles_0_1,40,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0040,DIMERCAPROL,ambiguous,side effects,OCC(S)CS,"2,3-bis(sulfanyl)propan-1-ol",0.7,"DIMERCAPROL contains reactive thiol groups and an ester, which may raise stability and toxicity concerns, though its established clinical use suggests some developability despite these liabilities."
qwen_smiles_0_1,41,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0041,CHLOROPYRAMINE,good,good,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,"N'-[(4-chlorophenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine",0.75,"Chloropyramine shows acceptable drug-likeness with no major red flags, though the chloro-substituted aromatic ring and multiple nitrogen atoms may raise mild concerns about metabolic stability and basicity."
qwen_smiles_0_1,42,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0042,PAZOPANIB,ambiguous,antitumor,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,"5-[[4-[(2,3-dimethylindazol-6-yl)-methylamino]pyrimidin-2-yl]amino]-2-methylbenzenesulfonamide",0.85,Approved kinase inhibitor with sulfonamide and nitrile groups; potential for reactivity/toxicity but validated clinical use offsets some liabilities.
qwen_smiles_0_1,43,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0043,NAPROXEN,ambiguous,side effects,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,0.95,"Naproxen is a well-established NSAID with no major structural alerts, favorable physicochemical properties, and a proven oral developability profile."
qwen_smiles_0_1,44,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0044,DOMPERIDONE,ambiguous,side effects,C1CCC(CC1)N1CCN(CC1)C(=O)c1ccc(Cl)cc1,(4-chlorophenyl)-(4-cyclohexylpiperazin-1-yl)methanone,0.9,"No major developability concerns; stable structure with no reactive groups or toxicophores, though chlorine substitution may require further safety evaluation."
qwen_smiles_0_1,45,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0045,HYDROCHLOROTHIAZIDE,good,good,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,"6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",0.95,"Established thiazide diuretic with no major structural alerts, though sulfonamide moiety may carry known hypersensitivity risks."
qwen_smiles_0_1,46,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0046,CARBARYL,bad,bad extreme,CNC(=O)Oc1cccc2ccccc12,naphthalen-1-yl N-methylcarbamate,0.3,"Contains a carbamate group (potential hydrolytic instability and neurotoxicity risk) and a large aromatic system, raising safety and solubility concerns."
qwen_smiles_0_1,47,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0047,BENZO[DEF]CHRYSENE,bad,bad extreme,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,benzo[a]pyrene,0.1,"Benzo[def]chrysene is a polycyclic aromatic hydrocarbon with strong structural alerts for carcinogenicity, high lipophilicity, and poor solubility, making it unsuitable for drug development."
qwen_smiles_0_1,48,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0048,ACETONE,bad,bad extreme,CC(C)=O,propan-2-one,0.2,ACETONE is a common solvent with no therapeutic function; lacks drug-like properties and molecular complexity for target engagement.
qwen_smiles_0_1,49,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0049,LORATADINE,good,good,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene)piperidine-1-carboxylate",0.9,LORATADINE shows no major developability concerns; its known clinical use suggests acceptable safety and pharmacokinetics despite a moderately complex structure and lipophilic character.
qwen_smiles_0_1,50,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0050,DINITROBENZENE,bad,bad extreme,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,"1,4-dinitrobenzene",0.2,"Multiple nitro groups introduce significant toxicity risks, reactivity, and instability, with no redeeming developability features."
qwen_smiles_0_1,51,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0051,VITAMIN D3,good,good,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,"10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",0.95,"Vitamin D3 shows no major developability concerns despite its complex structure, with no reactive groups, toxicophores, or obvious physicochemical liabilities."
qwen_smiles_0_1,52,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0052,LEVOTHYROXINE,good,good,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",0.5,"Contains multiple iodine atoms and a high molecular weight, raising concerns about solubility, stability, and potential toxicity, though it is an approved drug with optimized properties."
qwen_smiles_0_1,53,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0053,METHOTREXATE,ambiguous,antitumor,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"(2S)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid",0.9,"METHOTREXATE is a well-established drug with no major structural alerts or instability risks, though its high molecular weight and multiple ionizable groups may pose solubility challenges."
qwen_smiles_0_1,54,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0054,SERTRALINE,good,good,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,"(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine",0.95,Sertraline shows no major developability concerns; it is a well-established SSRI with acceptable physicochemical properties and no obvious toxicophores or structural alerts.
qwen_smiles_0_1,55,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0055,ACETAMINOPHEN,good,good,CC(=O)Nc1ccc(O)cc1,N-(4-hydroxyphenyl)acetamide,0.3,"Hepatotoxicity risk from para-hydroxy group and NAPQI metabolite formation, despite good physicochemical properties and low synthetic complexity."
qwen_smiles_0_1,56,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0056,ACITRETIN,ambiguous,side effects,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C(=O)O,"(2E,4E,6E)-3,7,11-trimethyldodeca-2,4,6,10-tetraenoic acid",0.3,"Retinoid scaffold and terminal carboxylic acid introduce significant safety liabilities (teratogenicity, skin toxicity) despite oral bioavailability and known clinical use."
qwen_smiles_0_1,57,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0057,CHLORAMPHENICOL,ambiguous,side effects,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,"2,2-dichloro-N-[(1R,2R)-1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",0.5,"Nitro group and chlorinated aromatic ring raise toxicity concerns, though established clinical use suggests some developability despite liabilities."
qwen_smiles_0_1,58,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0058,MYCOPHENOLATE MOFETIL,good,good,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,2-morpholin-4-ylethyl (E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoate,0.6,High molecular weight (>500 Da) and ester hydrolysis liability offset by prodrug design and established therapeutic use.
qwen_smiles_0_1,59,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0059,N-Nitrosodimethylamine,bad,bad extreme,CN(C)N=O,"N,N-dimethylnitrous amide",0.1,"Contains a nitroso group (N=O), a known carcinogenic toxicophore, and is classified as a probable human carcinogen (IARC Group 2A), rendering it unsuitable for drug development due to severe safety concerns."
qwen_smiles_0_1,60,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0060,CEFTRIAXONE,good,good,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,"(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",0.6,"Contains a beta-lactam ring (reactive/unstable) and sulfhydryl group (potential reactivity), but is a known antibiotic with established clinical use."
qwen_smiles_0_1,61,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0061,TRAMADOL,ambiguous,addiction,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,"cis-(1R,2R)-2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol",0.6,"Tramadol contains an opioid scaffold with inherent abuse potential and metabolic liability (N-demethylation), though it shows acceptable oral bioavailability and moderate physicochemical properties."
qwen_smiles_0_1,62,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0062,NICOTINE,bad,side effects,CN1CCC[C@H]1c1cccnc1,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,0.3,"Nicotine contains inherent toxicophores (e.g., pyridine ring) and is associated with significant safety concerns (addiction, cardiovascular toxicity) despite favorable physicochemical properties."
qwen_smiles_0_1,63,qwen,qwen/qwen3-14b,smiles,0-1,0,1,M0063,ONDANSETRON,good,good,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,"9-methyl-3-[(2-methylimidazol-1-yl)methyl]-2,3-dihydro-1H-carbazol-4-one",0.9,"Ondansetron is a marketed drug with no major structural alerts, though the piperazine ring and ketone may raise minor solubility or toxicity considerations."
